episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_AEW,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_HOLD_INTCPT,state_PURSUING,state_GO_HOLD_INTCPT
0,1224,20252.470704822,40,26,4,92,11505.999999999998,21.42857142857143,2.351774042950513,64.97432306255835,1.4530812324929974,7.913165266106442,1.8790849673202614
1,1189,22248.42429344349,40,22,2,96,16154.945773155672,22.22222222222222,2.266143351088683,61.78861788617887,2.238108587982432,1.3923932342771705,10.09251471825063
2,1188,19155.571931836777,40,28,3,94,7443.999999999999,16.666666666666668,1.5081369248035914,74.62121212121211,1.7466329966329968,0.8698092031425366,4.587542087542087
3,1306,30186.732367989298,40,19,0,100,15893.127477263894,19.047619047619047,1.51316269233574,70.28731860278567,1.319915408736236,0.7219426821264494,7.110041566396849
4,1366,21663.60064562703,40,25,5,90,8740.0,13.333333333333334,0.31234748657881894,78.02830649097119,1.3714006832601269,0.6442166910688141,6.310395314787701
5,1505,32674.216901325788,40,26,2,96,12537.606679714643,21.42857142857143,1.5614617940199338,69.52064546748932,1.17702895111533,0.7071665875652586,5.605125771238729
6,1300,26891.818164605233,40,26,1,98,10904.000000000005,21.42857142857143,0.4010989010989011,69.1923076923077,2.4725274725274726,1.6923076923076923,4.813186813186813
7,2105,54782.26924067209,40,24,2,96,16111.589209473334,18.75,0.3117577197149644,75.43646080760095,1.1728028503562946,0.5463182897862233,3.7826603325415675
8,1153,25159.356440621916,40,22,0,100,13499.433774615474,22.22222222222222,1.2383155054447332,66.03546304326878,1.1949503710128166,1.32986412257878,7.979184735472681
9,1398,27792.215489486774,40,28,2,96,11662.0,25.0,1.126609442060086,66.91106342393896,1.859799713876967,1.2041010968049597,3.8984263233190273
10,1047,19282.584655100083,40,23,1,98,10001.252719941365,17.647058823529413,1.0169110624192372,71.48716220012359,7.157705489072421,1.7529074667116133,0.9382549581437158
11,1233,27757.418783722256,40,31,1,98,7096.0,22.22222222222222,1.7662431287735423,67.0541587816527,1.9374605749301612,0.9732360097323601,6.0466792826890154
12,1466,36258.113208822084,40,20,0,100,18145.594907282826,25.0,0.2660300136425648,67.01568894952251,2.3669849931787166,2.0327421555252387,3.3185538881309693
13,1054,20060.27782074758,40,22,1,98,12434.047589428419,22.22222222222222,0.41640312038794025,66.22390891840608,2.472064094454986,1.217583807716635,7.447817836812145
14,1304,23454.788754699723,40,27,3,94,12148.0,23.076923076923077,1.9525719679093911,67.53775365738557,0.8081642284096271,0.6606890042472864,5.9638980651250595
15,1255,15726.753614549594,40,28,6,88,10096.0,25.0,1.454183266932271,65.54448871181938,1.0424966799468791,0.9362549800796813,6.0225763612217795
16,1161,20148.2863036934,40,29,2,96,8122.000000000002,18.181818181818183,1.9888810586485002,66.84676219559941,2.2002975491347585,1.3546315871897268,9.427609427609426
17,933,14849.616582807137,40,32,2,96,1366.0,1.045016077170418,89.30868167202573,1.5407288317256165,6.752411575562701,1.3531618435155413
18,1229,15252.737236501061,40,26,6,88,10771.06767708004,21.42857142857143,0.7264907590375451,68.03440660234801,1.5575961873764967,1.4646053702196908,6.788329652446822
19,1254,25585.579243276738,40,32,2,96,6708.0,25.0,1.7942583732057416,65.33094098883572,1.2360446570972887,4.904306220095694,1.7344497607655502
20,1385,30679.491373828285,40,20,1,98,14674.938779352653,20.0,0.2202166064981949,72.28519855595667,1.5703971119133573,1.2129963898916967,4.711191335740072
21,1386,32590.162502974068,40,22,0,100,11684.0,16.666666666666664,0.5170755170755171,75.55315055315054,2.657527657527657,1.0301426968093632,3.5754369087702425
22,1198,22282.94584781084,40,27,2,96,8147.379538183069,15.384615384615385,1.874919738024913,72.17798895595223,1.9904969821497367,1.5089251316296388,7.063053807628099
23,1626,40393.02130033077,40,25,0,100,10813.486534820117,13.333333333333334,1.2546125461254611,76.65026650266502,1.767117671176712,1.1480114801148011,5.846658466584666
